id,text,location
87," ]re-po-so [ka-ri-(se)-u [ ] wi-(je)-mo VIR 1 pi-ro-qa-wo[qe-te-se-u VIR [ ] no-da-ro VIR 1 a-ku-ri-(jo)[
 vacat [ ](to)-so VIR (7)",Knossos
88,"sup. mut.
 ](ki)-ne-u (VIR)[sa-ma-ri-wa-ta VIR[a-re-ta-wo[
inf. mut.",Knossos
89," ](du)-ru (1) (ko)[ko-no-si-ja , ra-wa-ke-ja , a-nu-wi-ko VIR 1 [a-ra-da-jo VIR 1 pi-ja-si-ro VIR 1 (da)-(na)[ ] VIR 1
 ](we)-ro VIR 1 po-to VIR 1 si-pu2 VIR 1 pu-te VIR [ ] (ja)-sa-no VIR 1qa-me-si-jo VIR 1 mi-ja-ra-ro VIR 1 mi-ru-ro VIR 1
[ . ]-ki-wa-ta VIR 1 u-ra-mo-no VIR 1 pi-ri-no VIR 1qa-to-no-ro VIR 1 pe-te-ki-ja , VIR 1 ko-ni-da-jo VIR 1a-ko-ra-jo VIR 1 wa-du-[ . ]-to VIR 1 qo-te-ro VIR 1i-te-u VIR 1 pu-to-ro VIR 1 ka-ri-se-u VIR 1 a3-ko-ta VIR 1ka-ke VIR 1 ru-na VIR 1 pu-wo VIR 1 a-ta-ze-u [a-ra-na-ro VIR 1 si-ja-pu2-ro VIR 1 to-so X VIR 31 ",Knossos
90,"]-ti-jo , a-nu-to [ ](si)-re-wi-ja , VIR 1 su-ki-ri-to VIR 1
[ . ]ke-se-ra-wo VIR 1 qa[ . . ]-jo VIR 1 ne-o-ta VIR 1o-pi-si-jo VIR [ ]a3-wa-(to) VIR 1 a-ti-jo VIR 1 du-to VIR 1a-de-we-[.]VIR 1 pa-na-re-jo VIR 1 sa-pi-ti-nu-wo VIR 1du-to VIR 1 ka-*56-na-to VIR 1 a-qa-to VIR 1du-ru-po VIR 1 qa-nu-wa-so VIR 1 ke-re VIR 1 pa-ti VIR 1wi-ro VIR 1 su-mi VIR 1 i-wa-ko VIR 1 a-pi-wa-to VIR 1pi-ja-se-me VIR 1 to-so X VIR 23 ",Knossos
91,"se-to-i-ja su-ke-re-o , qa-si-re-wi-ja VIR 1 ku-to VIR 1sa-u-ri-jo VIR 1 du-ni-jo VIR 1 wi-ja-ma-ro VIR 1 a-pi-ra-wo VIR 1
  ](to) VIR 1 pi-[ ]-jo VIR 1 wi-ra-ne-to VIR 1
]na-(ro) VIR 1 wa-ru-wo-qo VIR 1
] VIR 1 a-ti-[ ] (VIR) 1 to-so[",Knossos
92," ]no , re-qo-me-no ,
[ . ]si-re-u 1 a-di-nwa-ta 1
[ . ]-sa-ta 1 ti-qa-jo 1da-wa-no 1 [ . . ]-wo 1qi-qe-ro 1 wi-du[ ] 1ku-ra-no 1 (ra)-wi-[ . ] 1e-ru-to-ro 1 ku-(ta)-i-jo 1ku-pa-nu-we-to 1 qa-ra-jo 1ri-zo 1 pa-na-re-jo 1ke-ka-to 1 to-so VIR 17
vacato-pi , e-sa-re-we , to-ro-no-wo-ko ,po-to-ri-jo 1 pe-we-ri-jo 1a3-ni-jo 1 ",Knossos
93,"side 2 versovacatza-mi-jo VIR 9vacat
reliqua pars sine requlis",Knossos
94," ] VIR 5 to-ko[ ]wi-ja 1 [
]VIR (5) we-e[ ] , to-ko 1 [
 ] VIR 5 we[ ]wi-ja to-ko 1 [
 ](re)-we VIR 5 (we)-e-wi-ja , to-ko 1 [
] vacat [ ] vacat [",Knossos
95,"sup. mut.
 ] VIR 1i-we-ro VIR 1ne-o-to VIR 1qa-ti-ja VIR 1o-pi-si-jo VIR 1pa-ja-ro VIR 1ki-ke-ro VIR 1i-to VIR 1
vacat(ma)-ri-ne-wo , wo-i-ko-deto-so VIR 10
vacat
inf. mut.",Knossos
96,"sup. mut.
 ](no) ,
 ]1 a-ta-no 1
 ]wi-jo 1 a-te-mo 1ki-ma-ta 1 ri-zo 1ke-sa-do-ro 1 di-zo 1da-ko-so 1 so-za 1to-so VIR 10
vacat
 ] e-u-na-wo 1
] sa-zo 1
 ] o-*22-di 1
] pi-ma-na-ro 1
 ] a-*56-no 1
inf. mut.",Knossos
97,"major pars sine regulis
 a-mi-ni-so [a-ma-no 1 se[
inf. mut.",Knossos
99," ](e)-pi-ko-wo , e-qe-(ta) , e-re-u-(te)[]da-mo , / e-ro-pa-ke-u // VIR 1 ko-ki[ ]-jo / ra-wo-po-qo , ze-ro[",Knossos
100," ](VIR) 1 X
 ]-(to)[ ]4 (da)-zo VIR 2
 ](2) [ ]-(so)[ ]2[ ] VIR 1 [",Knossos
101," ] VIR 2[
 ](1)[ ]a-re-te-re-u[
inf. mut.",Knossos
102,"sup. mut.
 ] ko-ko[
 ](mi)-dwe VIR[
 ] VIR (1)[
inf. mut.",Knossos
103,"sup. mut.
 ] (e)[
 ](u)-ko-ro VIR [
 ]-ke-u VIR 1[
 ] to-so VIR 10[",Knossos
104," ]ku-ka-so VIR 1[
 ] vacat [",Knossos
105," ]wa-je VIR 2 [
 ]to , o-du[
] vacat [",Knossos
106,"sup. mut.
 ]VIR 1 a-[ . ]-we (X)[
] X VIR 5 a-[
lat. inf.
]su-*56-ta X VIR 1[",Knossos
107," ]VIR (1) 'e-re-ta'VIR[
 ]VIR 1 'e-re-ta' (VIR)[
 ] 'e-re-ta' [inf. mut.",Knossos
108," ]me-ri-to te VIR 1
] vacat",Knossos
109," ]ma-jo , [
] VIR[
inf. mut.",Knossos
110,"sup. mut.
 ]-u-to VIR 1[
 ]1 o-ku 1 [",Knossos
111,"sup. mut.
 ](VIR) 3 a-[
]-(we)-(ro) VIR 1 X[
lat. inf.
](*56)-ti VIR 1 X [",Knossos
120," ] 1 ra-ni VIR 1
 ] vacat",Knossos
121,"ko-wi-ro-wo-ko VIR[ ] a3-te-re VIR 8[
vacat [",Knossos
122,"sup. mut.
 ] VIR 37ku-re-we[ ]ru-(wo) VIR 143(a)-(da)-wo-ne[i-(ja)-wo-(ne)[
ku-[ ]40
(o)-(da)-[ ]4
to-[ ]-to[ ]VIR 144
vacat
] vacat",Knossos
123, ]a2-ta VIR 2,Knossos
124, tu-ra-te-we VIR 15 [,Knossos
125,"sup. mut.
 ]-(nu) VIR (1)[
 ]ki-nu-wa , VIR[",Knossos
126,"]re-ta VIR [
 ]si-re-we VIR 10[",Knossos
127,"sup. mut.
 ]-(ko) [(ke)-sa-do-ro (VIR)[a-ke-ta VIR[(a)-na-qo-ta VIR 6ko-ma-we-ta VIR 2pe-qo-no VIR 1ra-wo-qo-no VIR 1ko-a-ta VIR 2ku-ni-ta VIR 3o-pi-te-u-ke-we VIR 2i-se-we-ri-jo VIR 3",Knossos
128," da-i-pi-ta , ke-do-si-ja , [
] u-ra-jo , VIR wi-du-ro VIR ki-ri-[
](jo)-si , VIR qo-ja-si , VIR , *56[
 ] , VIR pa-wi-no , VIR , di-de[e-u-da-mo , VIR qa-wo[ ]-we-ke , VIR , [pu2-ra-ne-jo , VIR , a-(ka)-de , VIR , o-pe-ta VIR [a-ta-ma-ta , VIR e-ke-se , VIR , pu-ri , VIR , [a-tu-qo-ta , VIR i-ke-ta[ ]VIR[
 ]-si-jo[ ]VIR[
inf. mut.",Knossos
129," side 2 verso
 ] , sa-za-ro , VIR ku-pe-re-te , VIR
 ]me-ne-u , VIR e-u-na-wo[ ]VIR
 ](ra)-no , VIR me-ri-[
 ]me-ta-ra-wo[ ]ta , VIR a-me-ja-si (VIR)
 ]ko-me-no , VIR , na-su-wo[ ]VIR , [ [ ke-ro (VIR) ] ]
 ] [ [ [ ](VIR)[ ](pu)-(wa) VIR ] ]
inf. mut.",Knossos
130,"sup. mut.
 ](wo) VIR
  ]jo , VIR
  ]a-wo-ro , VIR na-si-jo VIR
  ]VIR , ri-zo VIR me-de-i-jo VIR
  ]-do , VIR , [ [ ke-ro-te ] ]
 ]e , VIR 4 [ [ ] ]
  ]pa-no , VIR 30
  ]ke-re , o-pe",Knossos
131,"sup. mut.
 ]ma-ma-ro , VIR[
 pu-(sa)-[ . ], VIR , ki-u-ro , VIR , do[a-ki-wa-ta , VIR , ki-ri-ja-si VIR [a-pi-me-de , VIR , [",Knossos
132,"sup. mut.
 ra-ti-[
 e-u-ka-ri[
e-ri-ti-qi-[
[ . ]-ka-ta[
inf. mut.",Knossos
133,"sup. mut.
 ]-u , VIR , ko-ku-ro , VIR , to-na-ta , VIR ,
  ]u , VIR , a-so-qi-jo , VIR , pi-ri-(u)-wo , VIR
 ](VIR)[ ]ko-ru-[
inf. mut.",Knossos
134," ]ke-re , ke-do-si-ja , [
 ]wo-qo , VIR , do-qe-u , VIR , a-ki[
 ]e-i-ja-si , VIR , po-ti-jo , VIR [
 ] VIR , a-pa-re-[ ]VIR[ ]pu-ra[
inf. mut.",Knossos
135," pa-wi-no[ ](sa)-me , VIR[
]pi-ja-to , VIR , to-pe-si VIR e-wi-(ta)[
]me-de , VIR , i-za-re , VIR [
 ]VIR[ ]ke-re , VIR[ ]mi-[
inf. mut.",Knossos
136,"sup. mut.
 ]de-[ ] (VIR)[
] , VIR , a-ra-ka-jo , VIR ko-[ . ]-no , VIR
 ]-wo-ta , VIR po-ki-te , VIR
  ]se , VIR , ma-di-qo , VIR ,
 ]VIR , to-wa-no VIR
  ]VIR , pu-na-si-jo[ ]VIR
 ]e-wi-to-wo , VIR , ru-(a2)[ ](VIR)
 ], re-ka-(ta) , VIR [
 ]ma-ja-ro , VIR [ ",Knossos
137,"
sup. mut.
  ] VIR [
 ko-[ . ]-ka-ra-te-ne VIR (20)[
reliqua pars sine regulis",Knossos
138,"sup. mut.
 tu-(ri)[ ] u-ta-ni-jo VIR 237
vacat
reliqua pars sine regulis",Knossos
139,ra-sa-to / po VIR 2,Knossos
140,".a ]me-no VIR 2
.b  ]sa-do-ro-jo",Knossos
141, ]-ma-da-jo VIR 1,Knossos
142,".a ]a-pi-ja-ko-ro-jo[
.b ] VIR 4[",Knossos
143, ]mi-jo / po VIR 3[,Knossos
144, ]jo / po-ku-ta VIR 1[,Knossos
145, da-wi-jo / po-ku-ta VIR [,Knossos
146,".1a ] po-(da)-qe-re-(si)-je-wo
.1b ](pi)-ro / si-ra-ko , qi-ri-ja-to // ku-te-ro / ku-ro2-jo , do-e-ro , VIR 1
.2 ] vacat",Knossos
148, tu-wi-jo / ta-pa-e-o-te VIR 10 a-pe-o-te VIR 4,Knossos
149, e-ki-si-jo / po-ku[,Knossos
150,".a pa-qo-si-jo , si-ra , qi-ri-ja-to , [
.b ka-ra-na-ko , / ko-ma[ ](to) , do-(e)-(ro) , VIR (1)[",Knossos
152,".a ]-o-me-no
.b ] wo-ro-ka-ne , a-ko-ro-(da)-mo-jo VIR 3 ",Knossos
153," ](wo)-(ro)-ka-ne , / e-pi-ko",Knossos
155,"ko-no-si-jo , e-qe-ta , pi-sa-wa-ta , VIR[ ]-(se)[wo-si-jo-ne VIR [
 ]VIR 1 e-ko-te[
 ](wi)-[ ]VIR 1 me-(tu)[
 ]-ma-ro , VIR 1to-so , pa-te VIR 213[",Knossos
156,"sup. mut.
 ]pe-ri-te-u , VIR[
 ](e)-qe-ra-wo VIR[
inf. mut.",Knossos
158,"sup. mut.
 ]e-ri-ko[
inf. mut.",Knossos
159,"sup. mut.
 ]ka-ra-i-no , [
], VIR [",Knossos
160,"sup. mut.
 ]-wo , VIR a-du-[
 ]-e , VIR [
inf. mut.",Knossos
161,"sup. mut.
 ]-(wa)-(i)-(jo) , VIR [
] we-ro-pa-ta VIR e-re-ke[
 ](ma)-[
inf. mut.",Knossos
162,"sup. mut.
 ]-i-[
 ]ri-jo , VIR [
inf. mut.",Knossos
163,"sup. mut.
 (ke)-[
 to-ke[
 vacat [",Knossos
164,"sup. mut.
 ]-wa-ta VIR [
wi-do-[ ]-wi[
 e-re-(u)-ta[
inf. mut.",Knossos
165, ka-pa-jo / po VIR 3,Knossos
166,".a ]-qo [
.b ]-jo do-e-ro VIR[",Knossos
167," ]jo / to-so , o-re-i VIR (9)00[",Knossos
168, do-ti-jo / po-ku-ta VIR 10,Knossos
169, ]te-re-ta VIR 1,Knossos
170, ]i-jo-te VIR 130,Knossos
171, ]-ra-so / po VIR 2,Knossos
172,"sup. mut.
 ]-wo-[
 ](VIR) (e)[
inf. mut.",Knossos
173, ]jo / po-ku[,Knossos
174," ](do)-si-ja , [
 ]ra-jo[
inf. mut.",Knossos
175," 
 ] vacat [
 ]me-ri-wo[
inf. mut.",Knossos
176,"sup. mut.
 ka-[
 a3-du-[
inf. mut.",Knossos
177,"vacat [
qe-[BOSm 1 sa (OVISm)[(pa)-ja-(o)-(ne) / pa-(de)[",Knossos
178, e-wo-ta-de BOSf 20 ta BOS 1,Knossos
179,"sup. mut.mi-ru-ro / si-pe-we BOS ne *170 12o-du-ru-wi-jo / ko-re-te BOS ne *170 12wa-to / (ko)-re-te BOS ne *170 12 // wa-to / da-nu-wo BOS *170 12si-ra-ro / ko-re-te BOS 1 ne *170 12*56-ko-we / e-ra-ne BOS 1 ne *170 12o-du-ru-we / u-wo-qe-we BOS 1 ne *170 12ri-jo-no / ko-re-te BOS 1 ne *170 12ru-ki-ti-jo BOS 1 ne *170 12a-pa-ta-wa / ko-re-te BOS 1 ne *170 12ku-ta-i-to / ko-re-te BOS 1 ne *170 12re-ri-jo / e-re-ta BOS 1 ne *170 12
 ] wa-to / we-re-(we) BOS 1 ne *170 12inf. mut.",Knossos
180," ]pa-ro , / de-ki-si-wo CAPf 1 [",Knossos
181,"ma-mi-di-zo / pi-ri-to-jo OVISf 40[[ . . ]-ro , da-nu-wo OVISf 100[po-ri-wo , / su-ki-ri-ta-jo , wo-we-u CAPm 180]a-ru , / pa-ta-ti-jo , do-e-ro , CAPf 230a-du-po-to , / qi-ko-we-e , do-e-ro , CAPf 90qa-di-ja , / po-ku-te-ro , da-mo , do-e-ro CAPf 70da-[ . . / ]po-ku-ta CAPf 130ra-wa-ni-jo , / po-ku-ta , ra-ri-di-jo OVISm 190o-mi-ri-so , / (ta)-so , do-e-ro OVISm 50[ . . ]-so / a-pi-me-de-o , po-ku-ta ra-ri-di-jo OVISm 140ku-jo-[ / ](ta)-so , // do-e-ro OVISf 100a-*56-da-(ro) / ka-ta-mi-(jo) , (do)-(e)-(ro) OVISx[a-ra-ko , / ra-(ri)-(di)-jo , (do)-(e)-(ro) OVISm 100[vacat",Knossos
183," ] re-ko-no-jopu-wo / (po)-ku-ta // da-we-ro OVISm 270wa-du-na-ro , / po-ku-ta OVISm 110[ . ]-qa-to , / (pa)-[ ]te-re[ ]OVISx 140[ ]pu-na-to , do-e-ro , e-te-wa-tu-wo OVISm 80i-ro-to , [ ](na)-jo OVISm 80qa-sa-ko , / [ . ]-wa-so OVISm 170ka-sa-ro , / a-da-wa-si-jo OVISm 60
(di)-[ ] OVISm 140[a-*56-no[ ]jo-(te)[ ] OVISm (8)0ko-to , / po-ku[ ] OVISf 100[
](re)-to / ka-[
inf. mut.",Knossos
184,"vacat su-pu-wo / do-e-ro-jo OVISx[ ](7)0 CAPf 40to-so OVISm 900 [
 vacat
inf. mut.",Knossos
185,"pa-ro , e-te-wa-no , a3 CAPm 1[pa-ro ko-ma-we-te CAPm 1 pa[",Knossos
186,PA-RO E-TE-WA-NO AI CAPm 1 [ ] PA-TO ko-ma-we-te CAPm 1 PA [,Knossos
188," pa-ra-ti-jo OVISm 50a-ka-wi-ja-de / pa-ro , CAPm 50",Knossos
189," ] OVISf 10 [
] pa-ro , a-pi-qo-ta / pa-ro , do-e-ro CAPf 10 [",Knossos
191," re-ko-no , / to-sa , qe-[ ] OVISm 1700[OVISf 1200 [ ] 170 (SUSx) 500[to-sa , pa-ta[ ]2000[
inf. mut.",Knossos
192,"
[ [ re-ko-no-jo , po ] ][
[ [ po-ku-ta ] ][",Knossos
193, ]te-ru-wo-te CAPf 1 [,Knossos
194,".A OVISm (8)[
.B pa-ro / a-pi-qo-ta , sa-pa-ka-te-ri-ja OVISf 10 [",Knossos
195," ]OVISf  1 mo-ro-qa OVISf 1 ke-to-ro OVISf 1 we-wo-ni-jo (CAPf)[
 ](ku)-no-o CAPf 1 pe-ri-te-u OVISf 1 me-tu-ro CAPf 1 si-[
 ]CAPf 1 di[ ]po-ro-i (CAPx) 1[ ",Knossos
196,"
 ]-ne-wa CAPf 1 [",Knossos
197," pu-na-so , [",Knossos
198, te-re-wa-ko / a3-wa (1) tu-ma-ko (BOS)[,Knossos
199," do-ti-ja , / ra-ja , pu-na-so-qe , ra-su-to-qe a-to-mo SUS 1",Knossos
200, ]-re-[ ]-ja / ku-do-ni-ja BOSf 14[,Knossos
201," e-ko-so , / du-ma SUS 1",Knossos
202,".a ] e-ra-wo , du-ma [
.b ]ko-we-qe (SUSx)[",Knossos
204,".a ] , we-ka-ta-e [
.b ] ke-u-po-da-o BOSm ZE 1 [",Knossos
205,".a ]ka-te-ri-ja [
.b ]wo OVISf[",Knossos
206,".a ](we)-ka-ta [
.b ](sa) / au-a3-ta BOSm[",Knossos
207,".A ] (OVISx)[
.B ]ja-we-jo / da-*22-to (CAPf)[",Knossos
